,longitude,latitude,buildingType
2270,7.672360107538736,48.58779557126897,single_house
2271,7.672329857542934,48.5879283229957,single_house
2272,7.672399103582314,48.58763904702314,single_house
2273,7.672282577516057,48.58858529131014,single_house
2274,7.671115945744949,48.58975842840006,single_house
2275,7.67070446887999,48.589926882374556,single_house
2276,7.67070752991246,48.589854674248755,single_house
2277,7.67131060510512,48.58985440702804,single_house
2278,7.671704943791107,48.589144154190585,single_house
2279,7.671710773906761,48.58930071956856,single_house
2280,7.672442583187342,48.58916022072695,single_house
2281,7.672397457764482,48.589065574968735,single_house
2282,7.671631025487005,48.58948768029179,single_house
2283,7.671386230049129,48.58995596543618,single_house
2284,7.671568649236002,48.58982354293261,single_house
2285,7.671584235823691,48.58966343308907,single_house
2286,7.670969021141191,48.58986242237387,single_house
2287,7.671926493846258,48.588567745781084,single_house
2288,7.671745936547223,48.58989226964293,collective_house
2289,7.671615961770969,48.58881694174924,single_house
2290,7.671670000006183,48.588646311230555,single_house
2291,7.672185113199459,48.588573802109266,single_house
2292,7.672518686673163,48.5885066248484,single_house
2293,7.670736384591526,48.58711956303177,single_house
2294,7.672240244455804,48.587107325208336,single_house
2295,7.67156536574191,48.58707887960035,single_house
2296,7.671205090965845,48.58709033301374,single_house
2297,7.670971896195917,48.587110310081464,single_house
2298,7.672547309048404,48.58718446620547,single_house
2299,7.672466430549468,48.587084918533854,single_house
2300,7.672933511593207,48.587007085087464,single_house
2301,7.672784583969861,48.58719496451951,single_house
2302,7.67270548306274,48.58751076059436,collective_house
2303,7.672296757687328,48.5880900221495,single_house
2304,7.670347436898384,48.588727111656794,single_house
2305,7.670036880206759,48.58921960468453,single_house
2306,7.670203862165951,48.589507707927496,single_house
2307,7.668750302461889,48.58804462632242,single_house
2308,7.668496126077588,48.58785996735448,single_house
2309,7.669056844153883,48.5884660223145,single_house
2310,7.669087580477181,48.58874956631002,single_house
2311,7.668983093434703,48.58800484608279,collective_house
2312,7.669068300966309,48.58816820541775,single_house
2313,7.669908852289449,48.589093972362754,single_house
2314,7.668684052954156,48.58832206704459,single_house
2315,7.66868608418403,48.588253503209025,single_house
2316,7.669153436273977,48.588619923477175,single_house
2317,7.669591039965971,48.5891704356453,single_house
2318,7.669246146301081,48.58839550953304,collective_house
2319,7.66954875254563,48.588468327704405,garage
2320,7.669721178583097,48.58868052542928,single_house
2321,7.669231817565423,48.587565246685514,single_house
2322,7.668598285184272,48.58729996931097,single_house
2323,7.668542489843015,48.58761845206256,single_house
2324,7.668416497433884,48.58827670560315,single_house
2325,7.66879927416728,48.58777146842883,single_house
2326,7.668452379820387,48.58808516172027,single_house
